ID,Imperor,Image_path_av,Image_path_rev,meta,bbox_av_face,bbox_rev_img,URL
18,Constantine I,images\18_obv_Constantine I.jpg,images\18_rev_Constantine I.jpg,jsons\18_Constantine I.json,"[56, 37, 232, 283]",,https://numismatics.org/collection/1933.999.336
19,Constantine I,images\19_obv_Constantine I.jpg,images\19_rev_Constantine I.jpg,jsons\19_Constantine I.json,"[72.25788116455078, 34.992427825927734, 264.94110107421875, 300.0]",,https://numismatics.org/collection/1933.999.337
20,Constantine I,images\20_obv_Constantine I.jpg,images\20_rev_Constantine I.jpg,jsons\20_Constantine I.json,"[68, 36, 231, 286]",,https://numismatics.org/collection/1933.999.341
21,Constantine I,images\21_obv_Constantine I.jpg,images\21_rev_Constantine I.jpg,jsons\21_Constantine I.json,"[61, 43, 236, 277]",,https://numismatics.org/collection/1933.999.342
22,Constantine I,images\22_obv_Constantine I.jpg,images\22_rev_Constantine I.jpg,jsons\22_Constantine I.json,"[66, 36, 219, 261]",,https://numismatics.org/collection/1933.999.348
23,Constantine I,images\23_obv_Constantine I.jpg,images\23_rev_Constantine I.jpg,jsons\23_Constantine I.json,"[61, 44, 240, 277]",,https://numismatics.org/collection/1933.999.350
24,Constantine I,images\24_obv_Constantine I.jpg,images\24_rev_Constantine I.jpg,jsons\24_Constantine I.json,"[28.851346969604492, 43.01882553100586, 262.80548095703125, 292.593017578125]",,https://numismatics.org/collection/1933.999.351
25,Constantine I,images\25_obv_Constantine I.jpg,images\25_rev_Constantine I.jpg,jsons\25_Constantine I.json,"[43, 32, 243, 278]",,https://numismatics.org/collection/1933.999.357
26,Constantine I,images\26_obv_Constantine I.jpg,images\26_rev_Constantine I.jpg,jsons\26_Constantine I.json,"[69.65895080566406, 0.8124160170555115, 297.5922546386719, 244.18685913085938]",,https://numismatics.org/collection/1933.999.358
27,Constantine I,images\27_obv_Constantine I.jpg,images\27_rev_Constantine I.jpg,jsons\27_Constantine I.json,"[57, 43, 242, 272]",,https://numismatics.org/collection/1933.999.361
28,Constantine I,images\28_obv_Constantine I.jpg,images\28_rev_Constantine I.jpg,jsons\28_Constantine I.json,"[72, 53, 231, 261]",,https://numismatics.org/collection/1933.999.364
29,Constantine I,images\29_obv_Constantine I.jpg,images\29_rev_Constantine I.jpg,jsons\29_Constantine I.json,"[27.90150260925293, 48.69303512573242, 265.07720947265625, 291.2657470703125]",,https://numismatics.org/collection/1933.999.365
30,Constantine I,images\30_obv_Constantine I.jpg,images\30_rev_Constantine I.jpg,jsons\30_Constantine I.json,"[62, 66, 260, 270]",,https://numismatics.org/collection/1933.999.367
31,Constantine I,images\31_obv_Constantine I.jpg,images\31_rev_Constantine I.jpg,jsons\31_Constantine I.json,"[33, 46, 235, 265]",,https://numismatics.org/collection/1933.999.368
32,Constantine I,images\32_obv_Constantine I.jpg,images\32_rev_Constantine I.jpg,jsons\32_Constantine I.json,"[96, 35, 238, 265]",,https://numismatics.org/collection/1933.999.369
33,Constantine I,images\33_obv_Constantine I.jpg,images\33_rev_Constantine I.jpg,jsons\33_Constantine I.json,"[63, 86, 236, 277]",,https://numismatics.org/collection/1933.999.370
34,Constantine I,images\34_obv_Constantine I.jpg,images\34_rev_Constantine I.jpg,jsons\34_Constantine I.json,"[63, 53, 239, 285]",,https://numismatics.org/collection/1933.999.371
35,Constantine I,images\35_obv_Constantine I.jpg,images\35_rev_Constantine I.jpg,jsons\35_Constantine I.json,"[62, 74, 226, 272]",,https://numismatics.org/collection/1933.999.372
36,Constantine I,images\36_obv_Constantine I.jpg,images\36_rev_Constantine I.jpg,jsons\36_Constantine I.json,"[36, 57, 246, 283]",,https://numismatics.org/collection/1933.999.373
37,Constantine I,images\37_obv_Constantine I.jpg,images\37_rev_Constantine I.jpg,jsons\37_Constantine I.json,"[61, 57, 244, 282]",,https://numismatics.org/collection/1933.999.374
38,Constantine I,images\38_obv_Constantine I.jpg,images\38_rev_Constantine I.jpg,jsons\38_Constantine I.json,"[54, 37, 241, 276]",,https://numismatics.org/collection/1933.999.377
39,Constantine I,images\39_obv_Constantine I.jpg,images\39_rev_Constantine I.jpg,jsons\39_Constantine I.json,"[57, 51, 223, 271]",,https://numismatics.org/collection/1933.999.378
40,Constantine I,images\40_obv_Constantine I.jpg,images\40_rev_Constantine I.jpg,jsons\40_Constantine I.json,"[49, 38, 238, 272]",,https://numismatics.org/collection/1933.999.379
41,Constantine I,images\41_obv_Constantine I.jpg,images\41_rev_Constantine I.jpg,jsons\41_Constantine I.json,"[56, 28, 232, 287]",,https://numismatics.org/collection/1933.999.381
42,Constantine I,images\42_obv_Constantine I.jpg,images\42_rev_Constantine I.jpg,jsons\42_Constantine I.json,"[65, 62, 242, 269]",,https://numismatics.org/collection/1933.999.385
43,Constantine I,images\43_obv_Constantine I.jpg,images\43_rev_Constantine I.jpg,jsons\43_Constantine I.json,"[71, 34, 249, 259]",,https://numismatics.org/collection/1933.999.390
44,Constantine I,images\44_obv_Constantine I.jpg,images\44_rev_Constantine I.jpg,jsons\44_Constantine I.json,"[27.577198028564453, 31.580198287963867, 271.93994140625, 285.3814697265625]",,https://numismatics.org/collection/1933.999.391
45,Constantine I,images\45_obv_Constantine I.jpg,images\45_rev_Constantine I.jpg,jsons\45_Constantine I.json,"[78.42741394042969, 17.874183654785156, 300.0, 280.276611328125]",,https://numismatics.org/collection/1933.999.392
46,Constantine I,images\46_obv_Constantine I.jpg,images\46_rev_Constantine I.jpg,jsons\46_Constantine I.json,"[43.62092590332031, 26.622045516967773, 289.4200439453125, 288.6647033691406]",,https://numismatics.org/collection/1933.999.394
47,Constantine I,images\47_obv_Constantine I.jpg,images\47_rev_Constantine I.jpg,jsons\47_Constantine I.json,"[73, 46, 231, 284]",,https://numismatics.org/collection/1933.999.395
48,Constantine I,images\48_obv_Constantine I.jpg,images\48_rev_Constantine I.jpg,jsons\48_Constantine I.json,"[54.35625076293945, 37.61681365966797, 252.4101104736328, 286.75689697265625]",,https://numismatics.org/collection/1933.999.405
49,Constantine I,images\49_obv_Constantine I.jpg,images\49_rev_Constantine I.jpg,jsons\49_Constantine I.json,"[64, 67, 234, 288]",,https://numismatics.org/collection/1933.999.406
50,Constantine I,images\50_obv_Constantine I.jpg,images\50_rev_Constantine I.jpg,jsons\50_Constantine I.json,"[50, 70, 247, 285]",,https://numismatics.org/collection/1933.999.407
51,Constantine I,images\51_obv_Constantine I.jpg,images\51_rev_Constantine I.jpg,jsons\51_Constantine I.json,"[67, 53, 228, 263]",,https://numismatics.org/collection/1933.999.408
52,Constantine I,images\52_obv_Constantine I.jpg,images\52_rev_Constantine I.jpg,jsons\52_Constantine I.json,"[57, 55, 235, 269]",,https://numismatics.org/collection/1933.999.409
53,Constantine I,images\53_obv_Constantine I.jpg,images\53_rev_Constantine I.jpg,jsons\53_Constantine I.json,"[80, 64, 235, 270]",,https://numismatics.org/collection/1933.999.410
54,Constantine I,images\54_obv_Constantine I.jpg,images\54_rev_Constantine I.jpg,jsons\54_Constantine I.json,"[57, 33, 254, 270]",,https://numismatics.org/collection/1933.999.414
55,Constantine I,images\55_obv_Constantine I.jpg,images\55_rev_Constantine I.jpg,jsons\55_Constantine I.json,"[60, 40, 250, 270]",,https://numismatics.org/collection/1933.999.415
56,Constantine I,images\56_obv_Constantine I.jpg,images\56_rev_Constantine I.jpg,jsons\56_Constantine I.json,"[69, 82, 259, 288]",,https://numismatics.org/collection/1933.999.417
57,Constantine I,images\57_obv_Constantine I.jpg,images\57_rev_Constantine I.jpg,jsons\57_Constantine I.json,"[41, 61, 238, 288]",,https://numismatics.org/collection/1933.999.418
58,Constantine I,images\58_obv_Constantine I.jpg,images\58_rev_Constantine I.jpg,jsons\58_Constantine I.json,"[34.566226959228516, 44.99324417114258, 271.363525390625, 300.0]",,https://numismatics.org/collection/1933.999.420
59,Constantine I,images\59_obv_Constantine I.jpg,images\59_rev_Constantine I.jpg,jsons\59_Constantine I.json,"[48, 58, 224, 283]",,https://numismatics.org/collection/1933.999.421
60,Constantine I,images\60_obv_Constantine I.jpg,images\60_rev_Constantine I.jpg,jsons\60_Constantine I.json,"[45, 55, 236, 276]",,https://numismatics.org/collection/1933.999.422
61,Constantine I,images\61_obv_Constantine I.jpg,images\61_rev_Constantine I.jpg,jsons\61_Constantine I.json,"[51, 82, 238, 269]",,https://numismatics.org/collection/1933.999.423
62,Constantine I,images\62_obv_Constantine I.jpg,images\62_rev_Constantine I.jpg,jsons\62_Constantine I.json,"[48, 57, 231, 278]",,https://numismatics.org/collection/1933.999.424
63,Constantine I,images\63_obv_Constantine I.jpg,images\63_rev_Constantine I.jpg,jsons\63_Constantine I.json,"[66, 19, 241, 237]",,https://numismatics.org/collection/1933.999.425
64,Constantine I,images\64_obv_Constantine I.jpg,images\64_rev_Constantine I.jpg,jsons\64_Constantine I.json,"[42, 53, 258, 275]",,https://numismatics.org/collection/1933.999.426
65,Constantine I,images\65_obv_Constantine I.jpg,images\65_rev_Constantine I.jpg,jsons\65_Constantine I.json,"[66, 58, 249, 266]",,https://numismatics.org/collection/1933.999.427
66,Constantine I,images\66_obv_Constantine I.jpg,images\66_rev_Constantine I.jpg,jsons\66_Constantine I.json,"[70, 56, 238, 290]",,https://numismatics.org/collection/1933.999.428
67,Constantine I,images\67_obv_Constantine I.jpg,images\67_rev_Constantine I.jpg,jsons\67_Constantine I.json,"[56, 34, 253, 267]",,https://numismatics.org/collection/1933.999.434
68,Constantine I,images\68_obv_Constantine I.jpg,images\68_rev_Constantine I.jpg,jsons\68_Constantine I.json,"[62, 58, 257, 281]",,https://numismatics.org/collection/1933.999.435
69,Constantine I,images\69_obv_Constantine I.jpg,images\69_rev_Constantine I.jpg,jsons\69_Constantine I.json,"[59, 68, 243, 267]",,https://numismatics.org/collection/1933.999.439
70,Constantine I,images\70_obv_Constantine I.jpg,images\70_rev_Constantine I.jpg,jsons\70_Constantine I.json,"[23.818300247192383, 42.19504928588867, 264.1250915527344, 287.4823303222656]",,https://numismatics.org/collection/1933.999.440
71,Constantine I,images\71_obv_Constantine I.jpg,images\71_rev_Constantine I.jpg,jsons\71_Constantine I.json,"[62, 71, 240, 280]",,https://numismatics.org/collection/1933.999.441
72,Constantine I,images\72_obv_Constantine I.jpg,images\72_rev_Constantine I.jpg,jsons\72_Constantine I.json,"[37.1474609375, 34.065425872802734, 248.7530517578125, 297.7759704589844]",,https://numismatics.org/collection/1933.999.444
73,Constantine I,images\73_obv_Constantine I.jpg,images\73_rev_Constantine I.jpg,jsons\73_Constantine I.json,"[38, 46, 234, 265]",,https://numismatics.org/collection/1933.999.445
74,Constantine I,images\74_obv_Constantine I.jpg,images\74_rev_Constantine I.jpg,jsons\74_Constantine I.json,"[82, 53, 246, 279]",,https://numismatics.org/collection/1933.999.447
75,Constantine I,images\75_obv_Constantine I.jpg,images\75_rev_Constantine I.jpg,jsons\75_Constantine I.json,"[77, 91, 229, 265]",,https://numismatics.org/collection/1933.999.449
76,Constantine I,images\76_obv_Constantine I.jpg,images\76_rev_Constantine I.jpg,jsons\76_Constantine I.json,"[58, 44, 237, 266]",,https://numismatics.org/collection/1933.999.45
77,Constantine I,images\77_obv_Constantine I.jpg,images\77_rev_Constantine I.jpg,jsons\77_Constantine I.json,"[65, 42, 254, 270]",,https://numismatics.org/collection/1933.999.451
78,Constantine I,images\78_obv_Constantine I.jpg,images\78_rev_Constantine I.jpg,jsons\78_Constantine I.json,"[44.16925048828125, 35.18623352050781, 259.17059326171875, 290.2748107910156]",,https://numismatics.org/collection/1933.999.465
79,Constantine I,images\79_obv_Constantine I.jpg,images\79_rev_Constantine I.jpg,jsons\79_Constantine I.json,"[67, 71, 233, 268]",,https://numismatics.org/collection/1933.999.478
80,Constantine I,images\80_obv_Constantine I.jpg,images\80_rev_Constantine I.jpg,jsons\80_Constantine I.json,"[54, 48, 236, 281]",,https://numismatics.org/collection/1933.999.479
81,Constantine I,images\81_obv_Constantine I.jpg,images\81_rev_Constantine I.jpg,jsons\81_Constantine I.json,"[62, 77, 235, 279]",,https://numismatics.org/collection/1933.999.482
82,Constantine I,images\82_obv_Constantine I.jpg,images\82_rev_Constantine I.jpg,jsons\82_Constantine I.json,"[63, 55, 226, 274]",,https://numismatics.org/collection/1933.999.483
83,Constantine I,images\83_obv_Constantine I.jpg,images\83_rev_Constantine I.jpg,jsons\83_Constantine I.json,"[69, 75, 225, 267]",,https://numismatics.org/collection/1933.999.484
84,Constantine I,images\84_obv_Constantine I.jpg,images\84_rev_Constantine I.jpg,jsons\84_Constantine I.json,"[71, 53, 242, 263]",,https://numismatics.org/collection/1933.999.485
85,Constantine I,images\85_obv_Constantine I.jpg,images\85_rev_Constantine I.jpg,jsons\85_Constantine I.json,"[57, 43, 244, 259]",,https://numismatics.org/collection/1933.999.486
86,Constantine I,images\86_obv_Constantine I.jpg,images\86_rev_Constantine I.jpg,jsons\86_Constantine I.json,"[58, 57, 225, 275]",,https://numismatics.org/collection/1933.999.489
87,Constantine I,images\87_obv_Constantine I.jpg,images\87_rev_Constantine I.jpg,jsons\87_Constantine I.json,"[51, 59, 225, 259]",,https://numismatics.org/collection/1933.999.490
88,Constantine I,images\88_obv_Constantine I.jpg,images\88_rev_Constantine I.jpg,jsons\88_Constantine I.json,"[67, 64, 237, 270]",,https://numismatics.org/collection/1933.999.491
89,Constantine I,images\89_obv_Constantine I.jpg,images\89_rev_Constantine I.jpg,jsons\89_Constantine I.json,"[41, 61, 226, 259]",,https://numismatics.org/collection/1933.999.492
90,Constantine I,images\90_obv_Constantine I.jpg,images\90_rev_Constantine I.jpg,jsons\90_Constantine I.json,"[31, 82, 234, 276]",,https://numismatics.org/collection/1933.999.493
91,Constantine I,images\91_obv_Constantine I.jpg,images\91_rev_Constantine I.jpg,jsons\91_Constantine I.json,"[53, 55, 242, 284]",,https://numismatics.org/collection/1933.999.494
92,Constantine I,images\92_obv_Constantine I.jpg,images\92_rev_Constantine I.jpg,jsons\92_Constantine I.json,"[51, 53, 238, 282]",,https://numismatics.org/collection/1933.999.495
93,Constantine I,images\93_obv_Constantine I.jpg,images\93_rev_Constantine I.jpg,jsons\93_Constantine I.json,"[68, 63, 266, 284]",,https://numismatics.org/collection/1933.999.496
94,Constantine I,images\94_obv_Constantine I.jpg,images\94_rev_Constantine I.jpg,jsons\94_Constantine I.json,"[28, 42, 229, 287]",,https://numismatics.org/collection/1933.999.497
95,Constantine I,images\95_obv_Constantine I.jpg,images\95_rev_Constantine I.jpg,jsons\95_Constantine I.json,"[64, 53, 236, 270]",,https://numismatics.org/collection/1933.999.52
96,Constantine I,images\96_obv_Constantine I.jpg,images\96_rev_Constantine I.jpg,jsons\96_Constantine I.json,"[53, 54, 234, 281]",,https://numismatics.org/collection/1933.999.61
97,Constantine I,images\97_obv_Constantine I.jpg,images\97_rev_Constantine I.jpg,jsons\97_Constantine I.json,"[59, 54, 230, 269]",,https://numismatics.org/collection/1933.999.62
98,Constantine I,images\98_obv_Constantine I.jpg,images\98_rev_Constantine I.jpg,jsons\98_Constantine I.json,"[35.54013442993164, 34.80671691894531, 257.7440490722656, 288.614013671875]",,https://numismatics.org/collection/1933.999.63
99,Constantine I,images\99_obv_Constantine I.jpg,images\99_rev_Constantine I.jpg,jsons\99_Constantine I.json,"[61, 53, 238, 292]",,https://numismatics.org/collection/1933.999.64
100,Constantine I,images\100_obv_Constantine I.jpg,images\100_rev_Constantine I.jpg,jsons\100_Constantine I.json,"[44, 71, 228, 291]",,https://numismatics.org/collection/1933.999.65
101,Constantine I,images\101_obv_Constantine I.jpg,images\101_rev_Constantine I.jpg,jsons\101_Constantine I.json,"[50, 59, 222, 285]",,https://numismatics.org/collection/1933.999.66
102,Constantine I,images\102_obv_Constantine I.jpg,images\102_rev_Constantine I.jpg,jsons\102_Constantine I.json,"[54, 66, 237, 273]",,https://numismatics.org/collection/1933.999.83
103,Constantine I,images\103_obv_Constantine I.jpg,images\103_rev_Constantine I.jpg,jsons\103_Constantine I.json,"[42, 43, 220, 280]",,https://numismatics.org/collection/1933.999.84
104,Constantine I,images\104_obv_Constantine I.jpg,images\104_rev_Constantine I.jpg,jsons\104_Constantine I.json,"[60, 66, 227, 279]",,https://numismatics.org/collection/1933.999.86
105,Constantine I,images\105_obv_Constantine I.jpg,images\105_rev_Constantine I.jpg,jsons\105_Constantine I.json,"[59, 76, 251, 283]",,https://numismatics.org/collection/1933.999.87
106,Constantine I,images\106_obv_Constantine I.jpg,images\106_rev_Constantine I.jpg,jsons\106_Constantine I.json,"[35, 44, 227, 288]",,https://numismatics.org/collection/1933.999.88
107,Constantine I,images\107_obv_Constantine I.jpg,images\107_rev_Constantine I.jpg,jsons\107_Constantine I.json,"[60, 55, 246, 275]",,https://numismatics.org/collection/1933.999.89
108,Constantine I,images\108_obv_Constantine I.jpg,images\108_rev_Constantine I.jpg,jsons\108_Constantine I.json,"[53, 47, 245, 266]",,https://numismatics.org/collection/1933.999.90
109,Constantine I,images\109_obv_Constantine I.jpg,images\109_rev_Constantine I.jpg,jsons\109_Constantine I.json,"[47, 59, 234, 279]",,https://numismatics.org/collection/1933.999.91
110,Constantine I,images\110_obv_Constantine I.jpg,images\110_rev_Constantine I.jpg,jsons\110_Constantine I.json,"[41, 59, 222, 275]",,https://numismatics.org/collection/1933.999.93
111,Constantine I,images\111_obv_Constantine I.jpg,images\111_rev_Constantine I.jpg,jsons\111_Constantine I.json,"[60, 70, 246, 283]",,https://numismatics.org/collection/1933.999.95
112,Constantine I,images\112_obv_Constantine I.jpg,images\112_rev_Constantine I.jpg,jsons\112_Constantine I.json,"[46, 62, 228, 278]",,https://numismatics.org/collection/1933.999.96
113,Constantine I,images\113_obv_Constantine I.jpg,images\113_rev_Constantine I.jpg,jsons\113_Constantine I.json,"[35, 49, 213, 255]",,https://numismatics.org/collection/1933.999.97
114,Constantine I,images\114_obv_Constantine I.jpg,images\114_rev_Constantine I.jpg,jsons\114_Constantine I.json,"[46, 61, 251, 282]",,https://numismatics.org/collection/1933.999.99
115,Constantine I,images\115_obv_Constantine I.jpg,images\115_rev_Constantine I.jpg,jsons\115_Constantine I.json,"[94, 40, 245, 267]",,https://numismatics.org/collection/1934.21.12
116,Constantine I,images\116_obv_Constantine I.jpg,images\116_rev_Constantine I.jpg,jsons\116_Constantine I.json,"[48, 30, 226, 274]",,https://numismatics.org/collection/1934.21.13
117,Constantine I,images\117_obv_Constantine I.jpg,images\117_rev_Constantine I.jpg,jsons\117_Constantine I.json,"[57, 47, 237, 265]",,https://numismatics.org/collection/1934.21.26
118,Constantine I,images\118_obv_Constantine I.jpg,images\118_rev_Constantine I.jpg,jsons\118_Constantine I.json,"[79, 52, 224, 266]",,https://numismatics.org/collection/1934.21.27
119,Constantine I,images\119_obv_Constantine I.jpg,images\119_rev_Constantine I.jpg,jsons\119_Constantine I.json,"[58, 31, 212, 274]",,https://numismatics.org/collection/1934.21.3
120,Constantine I,images\120_obv_Constantine I.jpg,images\120_rev_Constantine I.jpg,jsons\120_Constantine I.json,"[84, 42, 235, 282]",,https://numismatics.org/collection/1934.21.4
121,Constantine I,images\121_obv_Constantine I.jpg,images\121_rev_Constantine I.jpg,jsons\121_Constantine I.json,"[45, 14, 207, 282]",,https://numismatics.org/collection/1934.21.55
122,Constantine I,images\122_obv_Constantine I.jpg,images\122_rev_Constantine I.jpg,jsons\122_Constantine I.json,"[85, 41, 250, 291]",,https://numismatics.org/collection/1944.100.21076
123,Constantine I,images\123_obv_Constantine I.jpg,images\123_rev_Constantine I.jpg,jsons\123_Constantine I.json,"[53, 43, 240, 286]",,https://numismatics.org/collection/1944.100.3089
124,Constantine I,images\124_obv_Constantine I.jpg,images\124_rev_Constantine I.jpg,jsons\124_Constantine I.json,"[91, 49, 245, 278]",,https://numismatics.org/collection/1944.100.3091
125,Constantine I,images\125_obv_Constantine I.jpg,images\125_rev_Constantine I.jpg,jsons\125_Constantine I.json,"[60, 71, 233, 292]",,https://numismatics.org/collection/1944.100.3093
126,Constantine I,images\126_obv_Constantine I.jpg,images\126_rev_Constantine I.jpg,jsons\126_Constantine I.json,"[55, 70, 229, 286]",,https://numismatics.org/collection/1944.100.3094
127,Constantine I,images\127_obv_Constantine I.jpg,images\127_rev_Constantine I.jpg,jsons\127_Constantine I.json,"[73, 60, 243, 286]",,https://numismatics.org/collection/1944.100.3095
128,Constantine I,images\128_obv_Constantine I.jpg,images\128_rev_Constantine I.jpg,jsons\128_Constantine I.json,"[51, 79, 243, 276]",,https://numismatics.org/collection/1944.100.3136
129,Constantine I,images\129_obv_Constantine I.jpg,images\129_rev_Constantine I.jpg,jsons\129_Constantine I.json,"[73, 75, 233, 277]",,https://numismatics.org/collection/1944.100.3140
130,Constantine I,images\130_obv_Constantine I.jpg,images\130_rev_Constantine I.jpg,jsons\130_Constantine I.json,"[75, 62, 231, 275]",,https://numismatics.org/collection/1944.100.3141
131,Constantine I,images\131_obv_Constantine I.jpg,images\131_rev_Constantine I.jpg,jsons\131_Constantine I.json,"[75, 58, 261, 279]",,https://numismatics.org/collection/1944.100.3142
132,Constantine I,images\132_obv_Constantine I.jpg,images\132_rev_Constantine I.jpg,jsons\132_Constantine I.json,"[80, 65, 240, 273]",,https://numismatics.org/collection/1944.100.3143
133,Constantine I,images\133_obv_Constantine I.jpg,images\133_rev_Constantine I.jpg,jsons\133_Constantine I.json,"[88, 61, 246, 276]",,https://numismatics.org/collection/1944.100.3147
134,Constantine I,images\134_obv_Constantine I.jpg,images\134_rev_Constantine I.jpg,jsons\134_Constantine I.json,"[83, 51, 240, 267]",,https://numismatics.org/collection/1944.100.3148
135,Constantine I,images\135_obv_Constantine I.jpg,images\135_rev_Constantine I.jpg,jsons\135_Constantine I.json,"[89.59406280517578, 62.27119064331055, 204.74468994140625, 275.6568603515625]",,https://numismatics.org/collection/1944.100.3150
136,Constantine I,images\136_obv_Constantine I.jpg,images\136_rev_Constantine I.jpg,jsons\136_Constantine I.json,"[76, 41, 252, 280]",,https://numismatics.org/collection/1944.100.3152
137,Constantine I,images\137_obv_Constantine I.jpg,images\137_rev_Constantine I.jpg,jsons\137_Constantine I.json,"[68, 62, 240, 283]",,https://numismatics.org/collection/1944.100.22733
138,Constantine I,images\138_obv_Constantine I.jpg,images\138_rev_Constantine I.jpg,jsons\138_Constantine I.json,"[30.715625762939453, 36.872318267822266, 239.60009765625, 286.7784423828125]",,https://numismatics.org/collection/1944.100.22734
139,Constantine I,images\139_obv_Constantine I.jpg,images\139_rev_Constantine I.jpg,jsons\139_Constantine I.json,"[66, 55, 218, 282]",,https://numismatics.org/collection/1944.100.22735
140,Constantine I,images\140_obv_Constantine I.jpg,images\140_rev_Constantine I.jpg,jsons\140_Constantine I.json,"[76, 33, 229, 276]",,https://numismatics.org/collection/1944.100.22736
141,Constantine I,images\141_obv_Constantine I.jpg,images\141_rev_Constantine I.jpg,jsons\141_Constantine I.json,"[83, 63, 245, 287]",,https://numismatics.org/collection/1944.100.22737
142,Constantine I,images\142_obv_Constantine I.jpg,images\142_rev_Constantine I.jpg,jsons\142_Constantine I.json,"[64, 67, 234, 290]",,https://numismatics.org/collection/1944.100.22738
143,Constantine I,images\143_obv_Constantine I.jpg,images\143_rev_Constantine I.jpg,jsons\143_Constantine I.json,"[85, 50, 236, 278]",,https://numismatics.org/collection/1944.100.22739
144,Constantine I,images\144_obv_Constantine I.jpg,images\144_rev_Constantine I.jpg,jsons\144_Constantine I.json,"[74, 53, 224, 283]",,https://numismatics.org/collection/1944.100.22740
145,Constantine I,images\145_obv_Constantine I.jpg,images\145_rev_Constantine I.jpg,jsons\145_Constantine I.json,"[72, 35, 256, 269]",,https://numismatics.org/collection/1944.100.22741
146,Constantine I,images\146_obv_Constantine I.jpg,images\146_rev_Constantine I.jpg,jsons\146_Constantine I.json,"[69, 36, 231, 285]",,https://numismatics.org/collection/1944.100.22742
147,Constantine I,images\147_obv_Constantine I.jpg,images\147_rev_Constantine I.jpg,jsons\147_Constantine I.json,"[76, 52, 240, 288]",,https://numismatics.org/collection/1944.100.22743
