ID,Imperor,Image_path_av,bbox_av_face
21,Constantine I,images/21_obv_Constantine I.jpg,"[61, 43, 236, 277]"
22,Constantine I,images/22_obv_Constantine I.jpg,"[66, 36, 219, 261]"
23,Constantine I,images/23_obv_Constantine I.jpg,"[61, 44, 240, 277]"
24,Constantine I,images/24_obv_Constantine I.jpg,"[58, 19, 233, 274]"
25,Constantine I,images/25_obv_Constantine I.jpg,"[43, 32, 243, 278]"
26,Constantine I,images/26_obv_Constantine I.jpg,"[52, 16, 233, 279]"
27,Constantine I,images/27_obv_Constantine I.jpg,"[57, 43, 242, 272]"
28,Constantine I,images/28_obv_Constantine I.jpg,"[72, 53, 231, 261]"
29,Constantine I,images/29_obv_Constantine I.jpg,"[27.90150260925293, 48.69303512573242, 265.07720947265625, 291.2657470703125]"
30,Constantine I,images/30_obv_Constantine I.jpg,"[62, 66, 260, 270]"
31,Constantine I,images/31_obv_Constantine I.jpg,"[33, 46, 235, 265]"
32,Constantine I,images/32_obv_Constantine I.jpg,"[96, 35, 238, 265]"
33,Constantine I,images/33_obv_Constantine I.jpg,"[63, 86, 236, 277]"
34,Constantine I,images/34_obv_Constantine I.jpg,"[63, 53, 239, 285]"
35,Constantine I,images/35_obv_Constantine I.jpg,"[62, 74, 226, 272]"
36,Constantine I,images/36_obv_Constantine I.jpg,"[36, 57, 246, 283]"
37,Constantine I,images/37_obv_Constantine I.jpg,"[61, 57, 244, 282]"
38,Constantine I,images/38_obv_Constantine I.jpg,"[54, 37, 241, 276]"
39,Constantine I,images/39_obv_Constantine I.jpg,"[57, 51, 223, 271]"
40,Constantine I,images/40_obv_Constantine I.jpg,"[49, 38, 238, 272]"
41,Constantine I,images/41_obv_Constantine I.jpg,"[56, 28, 232, 287]"
42,Constantine I,images/42_obv_Constantine I.jpg,"[65, 62, 242, 269]"
43,Constantine I,images/43_obv_Constantine I.jpg,"[71, 34, 249, 259]"
44,Constantine I,images/44_obv_Constantine I.jpg,"[27.577198028564453, 31.580198287963867, 271.93994140625, 285.3814697265625]"
45,Constantine I,images/45_obv_Constantine I.jpg,"[78.42741394042969, 17.874183654785156, 300.0, 280.276611328125]"
46,Constantine I,images/46_obv_Constantine I.jpg,"[43.62092590332031, 26.622045516967773, 289.4200439453125, 288.6647033691406]"
47,Constantine I,images/47_obv_Constantine I.jpg,"[73, 46, 231, 284]"
48,Constantine I,images/48_obv_Constantine I.jpg,"[54.35625076293945, 37.61681365966797, 252.4101104736328, 286.75689697265625]"
49,Constantine I,images/49_obv_Constantine I.jpg,"[64, 67, 234, 288]"
50,Constantine I,images/50_obv_Constantine I.jpg,"[50, 70, 247, 285]"
51,Constantine I,images/51_obv_Constantine I.jpg,"[67, 53, 228, 263]"
52,Constantine I,images/52_obv_Constantine I.jpg,"[57, 55, 235, 269]"
53,Constantine I,images/53_obv_Constantine I.jpg,"[80, 64, 235, 270]"
54,Constantine I,images/54_obv_Constantine I.jpg,"[57, 33, 254, 270]"
55,Constantine I,images/55_obv_Constantine I.jpg,"[60, 40, 250, 270]"
56,Constantine I,images/56_obv_Constantine I.jpg,"[69, 82, 259, 288]"
57,Constantine I,images/57_obv_Constantine I.jpg,"[41, 61, 238, 288]"
58,Constantine I,images/58_obv_Constantine I.jpg,"[34.566226959228516, 44.99324417114258, 271.363525390625, 300.0]"
59,Constantine I,images/59_obv_Constantine I.jpg,"[48, 58, 224, 283]"
60,Constantine I,images/60_obv_Constantine I.jpg,"[45, 55, 236, 276]"
61,Constantine I,images/61_obv_Constantine I.jpg,"[51, 82, 238, 269]"
62,Constantine I,images/62_obv_Constantine I.jpg,"[48, 57, 231, 278]"
63,Constantine I,images/63_obv_Constantine I.jpg,"[66, 19, 241, 237]"
64,Constantine I,images/64_obv_Constantine I.jpg,"[42, 53, 258, 275]"
65,Constantine I,images/65_obv_Constantine I.jpg,"[66, 58, 249, 266]"
66,Constantine I,images/66_obv_Constantine I.jpg,"[70, 56, 238, 290]"
67,Constantine I,images/67_obv_Constantine I.jpg,"[56, 34, 253, 267]"
68,Constantine I,images/68_obv_Constantine I.jpg,"[62, 58, 257, 281]"
69,Constantine I,images/69_obv_Constantine I.jpg,"[59, 68, 243, 267]"
70,Constantine I,images/70_obv_Constantine I.jpg,"[23.818300247192383, 42.19504928588867, 264.1250915527344, 287.4823303222656]"
71,Constantine I,images/71_obv_Constantine I.jpg,"[62, 71, 240, 280]"
72,Constantine I,images/72_obv_Constantine I.jpg,"[37.1474609375, 34.065425872802734, 248.7530517578125, 297.7759704589844]"
73,Constantine I,images/73_obv_Constantine I.jpg,"[38, 46, 234, 265]"
74,Constantine I,images/74_obv_Constantine I.jpg,"[82, 53, 246, 279]"
75,Constantine I,images/75_obv_Constantine I.jpg,"[77, 91, 229, 265]"
76,Constantine I,images/76_obv_Constantine I.jpg,"[58, 44, 237, 266]"
77,Constantine I,images/77_obv_Constantine I.jpg,"[65, 42, 254, 270]"
78,Constantine I,images/78_obv_Constantine I.jpg,"[44.16925048828125, 35.18623352050781, 259.17059326171875, 290.2748107910156]"
79,Constantine I,images/79_obv_Constantine I.jpg,"[67, 71, 233, 268]"
80,Constantine I,images/80_obv_Constantine I.jpg,"[54, 48, 236, 281]"
81,Constantine I,images/81_obv_Constantine I.jpg,"[62, 77, 235, 279]"
82,Constantine I,images/82_obv_Constantine I.jpg,"[63, 55, 226, 274]"
83,Constantine I,images/83_obv_Constantine I.jpg,"[69, 75, 225, 267]"
84,Constantine I,images/84_obv_Constantine I.jpg,"[71, 53, 242, 263]"
85,Constantine I,images/85_obv_Constantine I.jpg,"[57, 43, 244, 259]"
86,Constantine I,images/86_obv_Constantine I.jpg,"[58, 57, 225, 275]"
87,Constantine I,images/87_obv_Constantine I.jpg,"[51, 59, 225, 259]"
88,Constantine I,images/88_obv_Constantine I.jpg,"[67, 64, 237, 270]"
89,Constantine I,images/89_obv_Constantine I.jpg,"[41, 61, 226, 259]"
90,Constantine I,images/90_obv_Constantine I.jpg,"[31, 82, 234, 276]"
91,Constantine I,images/91_obv_Constantine I.jpg,"[53, 55, 242, 284]"
92,Constantine I,images/92_obv_Constantine I.jpg,"[51, 53, 238, 282]"
93,Constantine I,images/93_obv_Constantine I.jpg,"[68, 63, 266, 284]"
94,Constantine I,images/94_obv_Constantine I.jpg,"[28, 42, 229, 287]"
95,Constantine I,images/95_obv_Constantine I.jpg,"[64, 53, 236, 270]"
96,Constantine I,images/96_obv_Constantine I.jpg,"[53, 54, 234, 281]"
97,Constantine I,images/97_obv_Constantine I.jpg,"[59, 54, 230, 269]"
98,Constantine I,images/98_obv_Constantine I.jpg,"[35.54013442993164, 34.80671691894531, 257.7440490722656, 288.614013671875]"
99,Constantine I,images/99_obv_Constantine I.jpg,"[61, 53, 238, 292]"
100,Constantine I,images/100_obv_Constantine I.jpg,"[44, 71, 228, 291]"
101,Constantine I,images/101_obv_Constantine I.jpg,"[50, 59, 222, 285]"
102,Constantine I,images/102_obv_Constantine I.jpg,"[54, 66, 237, 273]"
103,Constantine I,images/103_obv_Constantine I.jpg,"[42, 43, 220, 280]"
104,Constantine I,images/104_obv_Constantine I.jpg,"[60, 66, 227, 279]"
105,Constantine I,images/105_obv_Constantine I.jpg,"[59, 76, 251, 283]"
106,Constantine I,images/106_obv_Constantine I.jpg,"[35, 44, 227, 288]"
107,Constantine I,images/107_obv_Constantine I.jpg,"[60, 55, 246, 275]"
108,Constantine I,images/108_obv_Constantine I.jpg,"[53, 47, 245, 266]"
109,Constantine I,images/109_obv_Constantine I.jpg,"[47, 59, 234, 279]"
110,Constantine I,images/110_obv_Constantine I.jpg,"[41, 59, 222, 275]"
111,Constantine I,images/111_obv_Constantine I.jpg,"[60, 70, 246, 283]"
112,Constantine I,images/112_obv_Constantine I.jpg,"[46, 62, 228, 278]"
113,Constantine I,images/113_obv_Constantine I.jpg,"[35, 49, 213, 255]"
114,Constantine I,images/114_obv_Constantine I.jpg,"[46, 61, 251, 282]"
115,Constantine I,images/115_obv_Constantine I.jpg,"[94, 40, 245, 267]"
116,Constantine I,images/116_obv_Constantine I.jpg,"[48, 30, 226, 274]"
117,Constantine I,images/117_obv_Constantine I.jpg,"[57, 47, 237, 265]"
118,Constantine I,images/118_obv_Constantine I.jpg,"[79, 52, 224, 266]"
119,Constantine I,images/119_obv_Constantine I.jpg,"[58, 31, 212, 274]"
120,Constantine I,images/120_obv_Constantine I.jpg,"[84, 42, 235, 282]"
121,Constantine I,images/121_obv_Constantine I.jpg,"[45, 14, 207, 282]"
122,Constantine I,images/122_obv_Constantine I.jpg,"[85, 41, 250, 291]"
123,Constantine I,images/123_obv_Constantine I.jpg,"[53, 43, 240, 286]"
124,Constantine I,images/124_obv_Constantine I.jpg,"[91, 49, 245, 278]"
125,Constantine I,images/125_obv_Constantine I.jpg,"[60, 71, 233, 292]"
126,Constantine I,images/126_obv_Constantine I.jpg,"[55, 70, 229, 286]"
127,Constantine I,images/127_obv_Constantine I.jpg,"[73, 60, 243, 286]"
128,Constantine I,images/128_obv_Constantine I.jpg,"[51, 79, 243, 276]"
129,Constantine I,images/129_obv_Constantine I.jpg,"[73, 75, 233, 277]"
130,Constantine I,images/130_obv_Constantine I.jpg,"[75, 62, 231, 275]"
131,Constantine I,images/131_obv_Constantine I.jpg,"[75, 58, 261, 279]"
132,Constantine I,images/132_obv_Constantine I.jpg,"[80, 65, 240, 273]"
133,Constantine I,images/133_obv_Constantine I.jpg,"[88, 61, 246, 276]"
134,Constantine I,images/134_obv_Constantine I.jpg,"[83, 51, 240, 267]"
135,Constantine I,images/135_obv_Constantine I.jpg,"[89.59406280517578, 62.27119064331055, 204.74468994140625, 275.6568603515625]"
136,Constantine I,images/136_obv_Constantine I.jpg,"[76, 41, 252, 280]"
137,Constantine I,images/137_obv_Constantine I.jpg,"[68, 62, 240, 283]"
138,Constantine I,images/138_obv_Constantine I.jpg,"[30.715625762939453, 36.872318267822266, 239.60009765625, 286.7784423828125]"
139,Constantine I,images/139_obv_Constantine I.jpg,"[66, 55, 218, 282]"
140,Constantine I,images/140_obv_Constantine I.jpg,"[76, 33, 229, 276]"
141,Constantine I,images/141_obv_Constantine I.jpg,"[83, 63, 245, 287]"
142,Constantine I,images/142_obv_Constantine I.jpg,"[64, 67, 234, 290]"
143,Constantine I,images/143_obv_Constantine I.jpg,"[85, 50, 236, 278]"
144,Constantine I,images/144_obv_Constantine I.jpg,"[74, 53, 224, 283]"
145,Constantine I,images/145_obv_Constantine I.jpg,"[72, 35, 256, 269]"
146,Constantine I,images/146_obv_Constantine I.jpg,"[69, 36, 231, 285]"
147,Constantine I,images/147_obv_Constantine I.jpg,"[76, 52, 240, 288]"
148,Constantine I,images/148_obv_Constantine I.jpg,"[74, 43, 238, 283]"
149,Constantine I,images/149_obv_Constantine I.jpg,"[33.380462646484375, 20.11287498474121, 261.533935546875, 293.80792236328125]"
150,Constantine I,images/150_obv_Constantine I.jpg,"[78, 24, 240, 287]"
151,Constantine I,images/151_obv_Constantine I.jpg,"[41.96385955810547, 29.73060417175293, 275.43218994140625, 294.9555969238281]"
152,Constantine I,images/152_obv_Constantine I.jpg,"[42.34685134887695, 17.58427619934082, 272.7301940917969, 294.28424072265625]"
153,Constantine I,images/153_obv_Constantine I.jpg,"[70, 29, 224, 279]"
154,Constantine I,images/154_obv_Constantine I.jpg,"[37.5861701965332, 34.35905456542969, 256.5462341308594, 292.99627685546875]"
155,Constantine I,images/155_obv_Constantine I.jpg,"[78, 64, 227, 286]"
156,Constantine I,images/156_obv_Constantine I.jpg,"[53, 22, 219, 270]"
157,Constantine I,images/157_obv_Constantine I.jpg,"[35.446590423583984, 30.38025665283203, 260.1080627441406, 285.280517578125]"
158,Constantine I,images/158_obv_Constantine I.jpg,"[70, 37, 226, 274]"
159,Constantine I,images/159_obv_Constantine I.jpg,"[64, 49, 235, 269]"
160,Constantine I,images/160_obv_Constantine I.jpg,"[86, 42, 240, 282]"
161,Constantine I,images/161_obv_Constantine I.jpg,"[78.62966918945312, 30.336196899414062, 300.0, 282.6332092285156]"
162,Constantine I,images/162_obv_Constantine I.jpg,"[83, 61, 234, 274]"
163,Constantine I,images/163_obv_Constantine I.jpg,"[75, 54, 239, 286]"
164,Constantine I,images/164_obv_Constantine I.jpg,"[39.05979919433594, 50.552268981933594, 263.84844970703125, 297.8900451660156]"
165,Constantine I,images/165_obv_Constantine I.jpg,"[78, 37, 222, 257]"
166,Constantine I,images/166_obv_Constantine I.jpg,"[77, 27, 240, 289]"
167,Constantine I,images/167_obv_Constantine I.jpg,"[62, 45, 246, 267]"
168,Constantine I,images/168_obv_Constantine I.jpg,"[68, 37, 226, 283]"
169,Constantine I,images/169_obv_Constantine I.jpg,"[84, 47, 241, 264]"
170,Constantine I,images/170_obv_Constantine I.jpg,"[63, 24, 252, 287]"
171,Constantine I,images/171_obv_Constantine I.jpg,"[64, 30, 228, 260]"
172,Constantine I,images/172_obv_Constantine I.jpg,"[72, 53, 220, 278]"
173,Constantine I,images/173_obv_Constantine I.jpg,"[71, 41, 234, 285]"
174,Constantine I,images/174_obv_Constantine I.jpg,"[91, 28, 253, 278]"
175,Constantine I,images/175_obv_Constantine I.jpg,"[67, 37, 232, 276]"
176,Constantine I,images/176_obv_Constantine I.jpg,"[80, 47, 231, 283]"
177,Constantine I,images/177_obv_Constantine I.jpg,"[75, 46, 217, 268]"
178,Constantine I,images/178_obv_Constantine I.jpg,"[36.859867095947266, 33.546295166015625, 255.33689880371094, 290.5564270019531]"
179,Constantine I,images/179_obv_Constantine I.jpg,"[76, 37, 239, 297]"
180,Constantine I,images/180_obv_Constantine I.jpg,"[64, 38, 248, 284]"
181,Constantine I,images/181_obv_Constantine I.jpg,"[59, 43, 224, 285]"
182,Constantine I,images/182_obv_Constantine I.jpg,"[61, 42, 208, 273]"
183,Constantine I,images/183_obv_Constantine I.jpg,"[81, 61, 241, 273]"
184,Constantine I,images/184_obv_Constantine I.jpg,"[94, 29, 242, 250]"
185,Constantine I,images/185_obv_Constantine I.jpg,"[52, 13, 222, 275]"
186,Constantine I,images/186_obv_Constantine I.jpg,"[78, 45, 239, 275]"
187,Constantine I,images/187_obv_Constantine I.jpg,"[72, 41, 227, 284]"
188,Constantine I,images/188_obv_Constantine I.jpg,"[81.77452850341797, 27.391632080078125, 274.8994140625, 273.7893371582031]"
189,Constantine I,images/189_obv_Constantine I.jpg,"[12.46844482421875, 43.99783706665039, 248.38748168945312, 292.8408508300781]"
190,Constantine I,images/190_obv_Constantine I.jpg,"[98.95362091064453, 51.413665771484375, 260.22235107421875, 285.3870544433594]"
191,Constantine I,images/191_obv_Constantine I.jpg,"[55, 35, 245, 273]"
192,Constantine I,images/192_obv_Constantine I.jpg,"[57, 53, 247, 277]"
193,Constantine I,images/193_obv_Constantine I.jpg,"[83, 27, 261, 274]"
194,Constantine I,images/194_obv_Constantine I.jpg,"[51.858890533447266, 53.266456604003906, 242.8977508544922, 291.3034973144531]"
195,Constantine I,images/195_obv_Constantine I.jpg,"[69, 45, 243, 276]"
196,Constantine I,images/196_obv_Constantine I.jpg,"[32.272422790527344, 46.10000228881836, 270.4921875, 293.71002197265625]"
197,Constantine I,images/197_obv_Constantine I.jpg,"[55.177772521972656, 11.379603385925293, 269.04132080078125, 276.868408203125]"
198,Constantine I,images/198_obv_Constantine I.jpg,"[70, 27, 239, 277]"
199,Constantine I,images/199_obv_Constantine I.jpg,"[88.00011444091797, 29.519832611083984, 267.89056396484375, 272.1069030761719]"
200,Constantine I,images/200_obv_Constantine I.jpg,"[62, 37, 221, 282]"
201,Constantine I,images/201_obv_Constantine I.jpg,"[67, 42, 237, 284]"
202,Constantine I,images/202_obv_Constantine I.jpg,"[66, 34, 243, 263]"
203,Constantine I,images/203_obv_Constantine I.jpg,"[70, 34, 249, 282]"
204,Constantine I,images/204_obv_Constantine I.jpg,"[58, 63, 240, 288]"
205,Constantine I,images/205_obv_Constantine I.jpg,"[57, 61, 240, 279]"
206,Constantine I,images/206_obv_Constantine I.jpg,"[66, 59, 244, 266]"
207,Constantine I,images/207_obv_Constantine I.jpg,"[58, 52, 238, 282]"
208,Constantine I,images/208_obv_Constantine I.jpg,"[34, 40, 248, 282]"
209,Constantine I,images/209_obv_Constantine I.jpg,"[66, 68, 250, 273]"
210,Constantine I,images/210_obv_Constantine I.jpg,"[58, 45, 252, 280]"
211,Constantine I,images/211_obv_Constantine I.jpg,"[52, 73, 233, 278]"
212,Constantine I,images/212_obv_Constantine I.jpg,"[43, 51, 221, 278]"
213,Constantine I,images/213_obv_Constantine I.jpg,"[61, 58, 234, 267]"
214,Constantine I,images/214_obv_Constantine I.jpg,"[65, 55, 239, 265]"
215,Constantine I,images/215_obv_Constantine I.jpg,"[45, 67, 226, 262]"
216,Constantine I,images/216_obv_Constantine I.jpg,"[43, 62, 201, 276]"
217,Constantine I,images/217_obv_Constantine I.jpg,"[40, 48, 236, 273]"
218,Constantine I,images/218_obv_Constantine I.jpg,"[45, 68, 236, 278]"
219,Constantine I,images/219_obv_Constantine I.jpg,"[55, 73, 244, 276]"
220,Constantine I,images/220_obv_Constantine I.jpg,"[55, 62, 243, 277]"
221,Constantine I,images/221_obv_Constantine I.jpg,"[54, 66, 253, 277]"
222,Constantine I,images/222_obv_Constantine I.jpg,"[56, 66, 235, 275]"
223,Constantine I,images/223_obv_Constantine I.jpg,"[59, 61, 233, 267]"
224,Constantine I,images/224_obv_Constantine I.jpg,"[63.8598518371582, 21.327951431274414, 269.6990661621094, 289.2160949707031]"
225,Constantine I,images/225_obv_Constantine I.jpg,"[63, 49, 241, 278]"
226,Constantine I,images/226_obv_Constantine I.jpg,"[35, 75, 217, 283]"
227,Constantine I,images/227_obv_Constantine I.jpg,"[53, 72, 239, 281]"
228,Constantine I,images/228_obv_Constantine I.jpg,"[71, 65, 235, 270]"
229,Constantine I,images/229_obv_Constantine I.jpg,"[4.6270246505737305, 31.279104232788086, 112.40818786621094, 282.23681640625]"
230,Constantine I,images/230_obv_Constantine I.jpg,"[55, 67, 237, 271]"
231,Constantine I,images/231_obv_Constantine I.jpg,"[57, 59, 253, 272]"
232,Constantine I,images/232_obv_Constantine I.jpg,"[71, 70, 242, 293]"
233,Constantine I,images/233_obv_Constantine I.jpg,"[78, 75, 250, 273]"
234,Constantine I,images/234_obv_Constantine I.jpg,"[54, 68, 235, 279]"
235,Constantine I,images/235_obv_Constantine I.jpg,"[42, 54, 228, 282]"
236,Constantine I,images/236_obv_Constantine I.jpg,"[47, 70, 225, 282]"
237,Constantine I,images/237_obv_Constantine I.jpg,"[43, 62, 241, 294]"
238,Constantine I,images/238_obv_Constantine I.jpg,"[26, 66, 220, 290]"
239,Constantine I,images/239_obv_Constantine I.jpg,"[43, 62, 249, 291]"
240,Constantine I,images/240_obv_Constantine I.jpg,"[53.989437103271484, 42.958457946777344, 234.22061157226562, 298.61572265625]"
241,Constantine I,images/241_obv_Constantine I.jpg,"[54, 56, 234, 290]"
242,Constantine I,images/242_obv_Constantine I.jpg,"[56.136070251464844, 45.097930908203125, 247.86705017089844, 286.54925537109375]"
243,Constantine I,images/243_obv_Constantine I.jpg,"[53.883880615234375, 58.982208251953125, 254.39871215820312, 295.26568603515625]"
244,Constantine I,images/244_obv_Constantine I.jpg,"[56, 64, 244, 293]"
245,Constantine I,images/245_obv_Constantine I.jpg,"[35, 63, 251, 289]"
246,Constantine I,images/246_obv_Constantine I.jpg,"[58, 50, 232, 275]"
247,Constantine I,images/247_obv_Constantine I.jpg,"[40, 32, 240, 274]"
248,Constantine I,images/248_obv_Constantine I.jpg,"[52, 46, 231, 267]"
249,Constantine I,images/249_obv_Constantine I.jpg,"[47, 47, 241, 288]"
250,Constantine I,images/250_obv_Constantine I.jpg,"[49, 49, 206, 287]"
251,Constantine I,images/251_obv_Constantine I.jpg,"[58, 80, 239, 287]"
252,Constantine I,images/252_obv_Constantine I.jpg,"[56, 43, 233, 286]"
253,Constantine I,images/253_obv_Constantine I.jpg,"[58, 59, 243, 288]"
254,Constantine I,images/254_obv_Constantine I.jpg,"[36, 66, 214, 296]"
255,Constantine I,images/255_obv_Constantine I.jpg,"[47, 52, 243, 279]"
256,Constantine I,images/256_obv_Constantine I.jpg,"[61, 61, 225, 286]"
257,Constantine I,images/257_obv_Constantine I.jpg,"[57, 54, 237, 290]"
258,Constantine I,images/258_obv_Constantine I.jpg,"[50, 59, 235, 286]"
259,Constantine I,images/259_obv_Constantine I.jpg,"[51, 61, 222, 270]"
260,Constantine I,images/260_obv_Constantine I.jpg,"[47, 62, 251, 289]"
261,Constantine I,images/261_obv_Constantine I.jpg,"[54, 49, 238, 280]"
262,Constantine I,images/262_obv_Constantine I.jpg,"[56, 54, 253, 290]"
263,Constantine I,images/263_obv_Constantine I.jpg,"[61.970298767089844, 48.44687271118164, 289.1459655761719, 295.6349792480469]"
264,Constantine I,images/264_obv_Constantine I.jpg,"[52, 36, 253, 285]"
265,Constantine I,images/265_obv_Constantine I.jpg,"[51, 63, 216, 274]"
266,Constantine I,images/266_obv_Constantine I.jpg,"[73, 50, 239, 276]"
267,Constantine I,images/267_obv_Constantine I.jpg,"[45, 45, 218, 290]"
268,Constantine I,images/268_obv_Constantine I.jpg,"[73, 70, 249, 278]"
269,Constantine I,images/269_obv_Constantine I.jpg,"[85, 51, 247, 282]"
270,Constantine I,images/270_obv_Constantine I.jpg,"[67, 49, 249, 288]"
271,Constantine I,images/271_obv_Constantine I.jpg,"[67, 66, 244, 295]"
272,Constantine I,images/272_obv_Constantine I.jpg,"[54, 42, 245, 284]"
273,Constantine I,images/273_obv_Constantine I.jpg,"[57, 52, 249, 285]"
274,Constantine I,images/274_obv_Constantine I.jpg,"[63, 67, 240, 270]"
275,Constantine I,images/275_obv_Constantine I.jpg,"[33.41276931762695, 20.734546661376953, 257.20257568359375, 281.6180419921875]"
276,Constantine I,images/276_obv_Constantine I.jpg,"[63.00032424926758, 67.00257873535156, 271.6006164550781, 299.9147644042969]"
277,Constantine I,images/277_obv_Constantine I.jpg,"[23.55431365966797, 48.81099319458008, 263.8648376464844, 288.9222717285156]"
278,Constantine I,images/278_obv_Constantine I.jpg,"[74, 58, 247, 274]"
279,Constantine I,images/279_obv_Constantine I.jpg,"[61, 53, 261, 282]"
280,Constantine I,images/280_obv_Constantine I.jpg,"[48.19315719604492, 56.45633316040039, 250.0787353515625, 293.76922607421875]"
281,Constantine I,images/281_obv_Constantine I.jpg,"[66, 66, 232, 277]"
282,Constantine I,images/282_obv_Constantine I.jpg,"[23.78660011291504, 18.92071533203125, 258.1827392578125, 294.37841796875]"
283,Constantine I,images/283_obv_Constantine I.jpg,"[59, 59, 242, 270]"
284,Constantine I,images/284_obv_Constantine I.jpg,"[57, 41, 248, 267]"
285,Constantine I,images/285_obv_Constantine I.jpg,"[69.27978515625, 51.892208099365234, 256.0113220214844, 280.0473937988281]"
286,Constantine I,images/286_obv_Constantine I.jpg,"[33.95876693725586, 44.18489074707031, 250.59796142578125, 289.4651794433594]"
287,Constantine I,images/287_obv_Constantine I.jpg,"[98.46372985839844, 55.620201110839844, 259.2469482421875, 286.0164489746094]"
288,Constantine I,images/288_obv_Constantine I.jpg,"[61, 31, 240, 272]"
289,Constantine I,images/289_obv_Constantine I.jpg,"[29.61954689025879, 13.585165977478027, 260.91943359375, 290.23004150390625]"
290,Constantine I,images/290_obv_Constantine I.jpg,"[60, 37, 237, 273]"
291,Constantine I,images/291_obv_Constantine I.jpg,"[58, 8, 219, 263]"
292,Constantine I,images/292_obv_Constantine I.jpg,"[28.374879837036133, 32.02568817138672, 265.5271911621094, 293.1167907714844]"
293,Constantine I,images/293_obv_Constantine I.jpg,"[45, 23, 252, 283]"
294,Constantine I,images/294_obv_Constantine I.jpg,"[71, 29, 236, 262]"
295,Constantine I,images/295_obv_Constantine I.jpg,"[42.371368408203125, 29.817378997802734, 276.96356201171875, 288.64056396484375]"
296,Constantine I,images/296_obv_Constantine I.jpg,"[74, 18, 252, 268]"
297,Constantine I,images/297_obv_Constantine I.jpg,"[75, 11, 254, 267]"
298,Theodosius I,images/298_obv_Theodosius I.jpg,"[72, 40, 237, 283]"
299,Theodosius I,images/299_obv_Theodosius I.jpg,"[68, 27, 225, 273]"
300,Theodosius I,images/300_obv_Theodosius I.jpg,"[76, 35, 236, 268]"
301,Theodosius I,images/301_obv_Theodosius I.jpg,"[70, 29, 227, 270]"
302,Theodosius I,images/302_obv_Theodosius I.jpg,"[71, 35, 221, 268]"
303,Theodosius I,images/303_obv_Theodosius I.jpg,"[68, 34, 234, 286]"
304,Theodosius I,images/304_obv_Theodosius I.jpg,"[76, 55, 230, 275]"
305,Theodosius I,images/305_obv_Theodosius I.jpg,"[76, 22, 234, 290]"
306,Theodosius I,images/306_obv_Theodosius I.jpg,"[65, 28, 231, 288]"
307,Theodosius I,images/307_obv_Theodosius I.jpg,"[49, 24, 221, 281]"
308,Theodosius I,images/308_obv_Theodosius I.jpg,"[67, 53, 215, 283]"
309,Theodosius I,images/309_obv_Theodosius I.jpg,"[59, 39, 228, 280]"
310,Theodosius I,images/310_obv_Theodosius I.jpg,"[39.16963195800781, 37.09822463989258, 262.1723937988281, 289.8844909667969]"
311,Theodosius I,images/311_obv_Theodosius I.jpg,"[74, 20, 251, 263]"
312,Theodosius I,images/312_obv_Theodosius I.jpg,"[86, 47, 233, 271]"
313,Theodosius I,images/313_obv_Theodosius I.jpg,"[60, 24, 233, 279]"
314,Theodosius I,images/314_obv_Theodosius I.jpg,"[75, 49, 234, 274]"
315,Theodosius I,images/315_obv_Theodosius I.jpg,"[80, 54, 219, 261]"
316,Theodosius I,images/316_obv_Theodosius I.jpg,"[54, 43, 234, 276]"
317,Theodosius I,images/317_obv_Theodosius I.jpg,"[52, 39, 233, 272]"
